WAS,87,CHO,94
LAC,94,CLE,105
PHO,87,POR,108
DAL,101,SAC,78
GSW,116,ATL,124
PHI,96,BOS,107
NYK,88,BRK,92
DEN,88,DET,98
MIL,111,HOU,117
CLE,99,IND,103
MEM,89,MIN,90
NOP,116,OKC,113
LAL,97,ORL,103
UTA,93,PHO,100
MIA,85,SAS,98
LAC,107,TOR,123
POR,101,DAL,111
BOS,93,MIL,96
CHI,107,NOP,72
GSW,106,NYK,92
CHO,81,PHI,89
SAC,90,UTA,102
BRK,77,WAS,114
IND,103,CHO,102
LAL,105,CLE,120
MIN,112,DET,101
POR,109,HOU,98
ATL,88,MEM,94
LAC,108,OKC,131
CHI,98,ORL,97
PHO,83,SAC,85
SAS,82,TOR,87
LAC,115,DAL,98
OKC,124,DEN,114
SAS,95,IND,93
NYK,95,MIA,109
BRK,97,MIL,103
ATL,117,MIN,105
UTA,100,NOP,96
GSW,89,PHI,84
ORL,80,WAS,96
SAC,86,CHI,104
DET,106,CHO,78
DEN,106,LAL,96
BRK,86,MEM,95
HOU,127,PHO,118
ATL,88,BOS,89
MIA,93,CLE,113
UTA,82,DAL,87
SAS,104,DET,87
HOU,95,LAC,110
SAC,103,MIL,111
GSW,94,MIN,91
IND,106,NOP,93
MEM,89,OKC,105
NYK,83,ORL,89
LAL,86,POR,102
WAS,93,TOR,95
CLE,98,CHI,113
SAS,115,LAC,119
DAL,89,OKC,104
TOR,105,ATL,80
HOU,100,DAL,111
CHI,91,DET,100
SAS,99,GSW,110
BRK,114,LAL,105
DEN,81,MIL,89
PHO,109,MIN,111
MIA,111,NYK,87
NOP,84,ORL,95
IND,106,PHI,95
BOS,101,SAC,109
POR,76,UTA,92
CLE,127,WAS,89
PHO,107,CHI,112
OKC,110,CHO,103
TOR,76,HOU,98
SAC,99,LAC,126
NOP,105,MIA,91
CHO,81,DAL,92
WAS,89,DET,106
GSW,98,IND,104
BOS,111,LAL,118
ATL,97,MIL,86
CLE,101,NYK,83
DEN,94,OKC,119
PHI,98,ORL,103
MEM,98,POR,92
MIL,71,CHI,87
BRK,110,DEN,82
MIN,102,HOU,113
MEM,90,LAC,87
PHI,108,MIA,119
TOR,97,NOP,100
BOS,115,PHO,110
SAS,81,UTA,90
TOR,92,DAL,99
CLE,102,DET,93
IND,92,OKC,105
GSW,114,WAS,107
DAL,87,ATL,104
NYK,94,BOS,115
CHO,98,CHI,86
PHO,110,DEN,96
LAC,105,HOU,110
PHI,88,MIL,104
WAS,77,MIN,97
BRK,96,NOP,102
MIA,93,ORL,90
SAS,95,POR,111
MEM,90,SAC,102
LAL,100,UTA,97
GSW,99,CLE,110
OKC,113,PHO,117
ORL,88,ATL,95
CHO,98,BOS,106
MIN,89,CHI,96
UTA,104,DEN,82
NYK,121,DET,115
BRK,98,HOU,102
CLE,86,IND,93
MIL,93,LAL,101
LAC,97,MEM,79
MIA,102,NOP,104
WAS,81,PHI,89
OKC,112,POR,115
SAS,107,SAC,96
GSW,113,TOR,89
BRK,104,DAL,94
ATL,93,MIA,91
MEM,101,MIN,97
TOR,98,NYK,103
SAS,101,PHO,74
MIL,75,UTA,82
DET,95,WAS,99
GSW,106,BOS,101
LAC,96,CHI,86
NOP,99,DEN,92
CLE,103,HOU,105
PHI,74,IND,94
OKC,108,LAL,101
CHO,98,ORL,83
POR,110,SAC,99
GSW,108,BRK,110
NOP,93,DAL,102
PHO,98,MIA,115
LAC,110,MIN,105
TOR,114,PHI,103
HOU,96,ATL,104
WAS,92,CHI,97
LAL,103,CHO,104
BOS,79,CLE,110
MIL,95,DEN,106
UTA,93,MEM,82
SAC,124,NYK,86
UTA,84,BOS,85
CHO,115,BRK,91
MIL,93,GSW,102
MEM,102,HOU,100
NYK,82,IND,105
POR,98,LAC,93
LAL,94,MIA,100
DEN,100,MIN,85
DET,85,NOP,88
PHI,118,OKC,123
PHO,105,ORL,100
SAC,85,SAS,112
CLE,120,TOR,112
OKC,105,CHI,108
DAL,75,POR,94
CLE,97,ATL,106
PHO,108,BRK,100
TOR,94,CHO,103
DAL,89,GSW,104
DET,93,HOU,103
CHI,84,IND,98
LAL,90,MEM,97
BOS,104,NOP,98
SAC,114,ORL,119
UTA,89,PHI,83
DEN,111,SAS,120
MIA,97,WAS,99
PHO,79,CLE,89
HOU,114,DEN,100
SAC,109,MIA,114
WAS,85,MIL,91
POR,113,MIN,121
MEM,89,NOP,95
IND,92,NYK,86
ATL,84,PHI,92
UTA,95,BRK,88
CHO,108,DET,101
LAC,98,GSW,106
DAL,100,LAL,93
TOR,104,OKC,108
BOS,98,ORL,103
CHI,105,SAS,116
SAC,105,ATL,130
MEM,101,CHI,91
WAS,95,CHO,69
NYK,78,DEN,106
